date,lc_excess,discharge
4/16/2026,-0.3886,0.137756361
4/18/2026,-0.4952,0.110095875
4/20/2026,-1.103,0.111554255
4/22/2026,-0.7704,0.124447149
4/24/2026,-1.0894,0.110925299
4/26/2026,-0.9972,0.122903063
4/28/2026,-0.4478,0.13021953
4/30/2026,-1.1056,0.121207447
5/14/2026,-0.923,0.140191149
5/16/2026,-1.2216,0.136704174
5/18/2026,-0.7216,0.136949226
5/2/2026,-0.8546,0.106476548
5/20/2026,-0.7988,0.127859429
5/22/2026,-1.4258,0.112642166
5/24/2026,-1.73,0.105918192
5/26/2026,-1.2536,0.109976483
5/28/2026,-1.0536,0.105146602
5/30/2026,-1.2866,0.096852713
5/4/2026,-1.3458,0.114368263
5/6/2026,-0.9428,0.117924844
5/8/2026,-1.1058,0.111772585
6/1/2026,-2.0852,0.085220816
6/10/2026,-3.1746,0.04271147
6/12/2026,-3.8292,0.033815127
6/14/2026,-4.2598,0.02951094
6/16/2026,-4.5956,0.027295503
6/18/2026,-4.755,0.024058951
6/20/2026,-5.309,0.022059896
6/22/2026,-5.4378,0.021463
6/24/2026,-5.5384,0.020063971
6/26/2026,-3.7156,0.033744912
6/28/2026,-4.1566,0.021288083
6/3/2026,-2.1394,0.074825967
6/30/2026,-5.6346,0.019419069
6/8/2026,-2.9634,0.049271037
7/1/2026,-6.1485,0.019160325
7/11/2026,-5.1358,0.017145213
7/13/2026,-6.4884,0.015066423
7/15/2026,-5.5127,0.017726249
7/19/2026,-4.9115,0.028141827
7/21/2026,-5.0761,0.027307761
7/23/2026,-5.2494,0.028150648
7/3/2026,-6.0106,0.017850892
7/5/2026,-5.6615,0.017657244
7/7/2026,-5.6104,0.017695082
7/9/2026,-4.9869,0.017640566
