date,lc_excess,discharge,isco
4/16/2026,-0.3886,0.137756361,tc
4/18/2026,-0.4952,0.110095875,tc
4/20/2026,-1.103,0.111554255,tc
4/22/2026,-0.7704,0.124447149,tc
4/24/2026,-1.0894,0.110925299,tc
4/26/2026,-0.9972,0.122903063,tc
4/28/2026,-0.4478,0.13021953,tc
4/30/2026,-1.1056,0.121207447,tc
5/14/2026,-0.923,0.140191149,tc
5/16/2026,-1.2216,0.136704174,tc
5/18/2026,-0.7216,0.136949226,tc
5/2/2026,-0.8546,0.106476548,tc
5/20/2026,-0.7988,0.127859429,tc
5/22/2026,-1.4258,0.112642166,tc
5/24/2026,-1.73,0.105918192,tc
5/26/2026,-1.2536,0.109976483,tc
5/28/2026,-1.0536,0.105146602,tc
5/30/2026,-1.2866,0.096852713,tc
5/4/2026,-1.3458,0.114368263,tc
5/6/2026,-0.9428,0.117924844,tc
5/8/2026,-1.1058,0.111772585,tc
6/1/2026,-2.0852,0.085220816,tc
6/10/2026,-3.1746,0.04271147,tc
6/12/2026,-3.8292,0.033815127,tc
6/14/2026,-4.2598,0.02951094,tc
6/16/2026,-4.5956,0.027295503,tc
6/18/2026,-4.755,0.024058951,tc
6/20/2026,-5.309,0.022059896,tc
6/22/2026,-5.4378,0.021463,tc
6/24/2026,-5.5384,0.020063971,tc
6/26/2026,-3.7156,0.033744912,tc
6/28/2026,-4.1566,0.021288083,tc
6/3/2026,-2.1394,0.074825967,tc
6/30/2026,-5.6346,0.019419069,tc
6/8/2026,-2.9634,0.049271037,tc
7/1/2026,-6.1485,0.019160325,tc
7/11/2026,-5.1358,0.017145213,tc
7/13/2026,-6.4884,0.015066423,tc
7/15/2026,-5.5127,0.017726249,tc
7/19/2026,-4.9115,0.028141827,tc
7/21/2026,-5.0761,0.027307761,tc
7/23/2026,-5.2494,0.028150648,tc
7/3/2026,-6.0106,0.017850892,tc
7/5/2026,-5.6615,0.017657244,tc
7/7/2026,-5.6104,0.017695082,tc
7/9/2026,-4.9869,0.017640566,tc
4/15/2026,-1.2756,0.109309289,utc
4/20/2026,-0.899,0.06810463,utc
4/22/2026,-0.3522,0.085278288,utc
4/24/2026,-0.6966,0.076170567,utc
4/26/2026,-0.5068,0.078472761,utc
4/28/2026,-0.5912,0.101573114,utc
4/30/2026,-0.026,0.080047302,utc
5/2/2026,-0.4426,0.067271035,utc
5/4/2026,-0.5772,0.078432766,utc
5/6/2026,-0.2108,0.079783395,utc
5/8/2026,-0.389,0.080398026,utc
5/12/2026,-0.8414,0.121542695,utc
5/14/2026,-1.4782,0.147645233,utc
5/16/2026,-1.0482,0.135723593,utc
5/18/2026,-0.8146,0.126285973,utc
5/20/2026,-1.1864,0.108513053,utc
5/22/2026,-1.2248,0.088202259,utc
5/24/2026,-0.9926,0.083386328,utc
5/26/2026,-2.1294,0.088887269,utc
5/28/2026,-0.9108,0.084869339,utc
5/30/2026,-1.6042,0.07775614,utc
6/1/2026,-1.105,0.0692875,utc
6/3/2026,-1.4568,0.065202945,utc
6/8/2026,-1.641,0.054755713,utc
6/9/2026,-2.3819,0.052670417,utc
6/10/2026,-2.5619,0.050109946,utc
6/20/2026,-3.0584,0.045207704,utc
6/24/2026,-2.9028,0.043721884,utc
6/25/2026,-2.3351,0.0661526,utc
6/27/2026,-2.643,0.04921027,utc
6/30/2026,-3.5252,0.042519122,utc
7/1/2026,-3.1662,0.042677859,utc
7/3/2026,-3.2317,0.041689895,utc
7/5/2026,-2.2993,0.040584623,utc
7/7/2026,-2.0403,0.040768529,utc
7/15/2026,-2.535,0.040192945,utc
7/17/2026,-1.736,0.042758251,utc
7/19/2026,-1.8638,0.041548041,utc
7/21/2026,-2.0771,0.037883694,utc
7/23/2026,-1.9938,0.035860631,utc
