date,site,method,time,discharge,error,channel_width,stations
5/11/2026,TC-ISCO,ADV,11:00:00 AM,0.1182,1.7,1.6,17
5/13/2026,TC-ISCO,ADV,2:00:00 PM,0.1241,2.6,1.6,17
6/8/2026,TC-ISCO,ADV,2:35:00 PM,0.0572,3.1,1.4,14
6/11/2026,TC-ISCO,ADV,5:00:00 PM,0.0458,3.7,1.6,13
6/17/2026,TC-ISCO,ADV,11:00:00 AM,0.0309,5.5,1.6,17
6/30/2026,TC-ISCO,ADV,12:00:00 PM,0.0200,4.4,1.6,17
7/15/2026,TC-ISCO,ADV,11:30:00 AM,0.0170,8.5,1.6,16
7/15/2026,TC-ISCO,ADV,12:00:00 PM,0.0153,7.9,1.6,16
7/23/2026,TC-ISCO,ADV,4:30:00 PM,0.0225,4.9,1.6,16
8/4/2026,TC-ISCO,ADV,11:15:00 AM,0.0099,6.7,1.5,16
5/11/2026,UTC-ISCO,ADV,1:30:00 PM,0.0961,5.9,1.8,19
5/11/2026,UTC-ISCO,ADV,2:00:00 PM,0.1037,3.0,1.8,13
5/13/2026,UTC-ISCO,ADV,12:45:00 PM,0.131,3.2,1.12,15
6/8/2026,UTC-ISCO,ADV,1:30:00 PM,0.0596,3.2,1.1,14
6/11/2026,UTC-ISCO,ADV,3:45:00 PM,0.0533,7.7,1.1,12
6/11/2026,UTC-ISCO,ADV,4:30:00 PM,0.0535,7.9,1.1,12
6/17/2026,UTC-ISCO,ADV,2:30:00 PM,0.0489,2.7,1.1,11
6/30/2026,UTC-ISCO,ADV,2:15:00 PM,0.0429,3.4,1.1,12
7/15/2026,UTC-ISCO,ADV,5:00:00 PM,0.0371,6.6,1.1,12
7/15/2026,UTC-ISCO,ADV,5:30:00 PM,0.0354,7.0,1.1,12
7/23/2026,UTC-ISCO,ADV,3:00:00 PM,0.0346,4.9,1.1,12
8/4/2026,UTC-ISCO,ADV,2:15:00 PM,0.0329,6.8,1.1,12
