metadata,,,,,,,,,,,,,,,
,compiled,information,counting dams,information,gradient-tc-26,information,gradient-cc-26,information,,,,,,,
,sample_name,sample site and date ,range,the reach number,site,individual site,site,individual site,,,,,,,
,date,date,bda_class,the range from site to site,location,general location,location,general location,,,,,,,
,processed_delta_d,‰,count,record number,normalized_stream_distance_m,meters (m),normalized_stream_distance_m,meters (m),,,,,,,
,processed_delta_d_stdev,‰,length,meters (m),Δx (m),delta stream distance (m),Δx (m),delta stream distance (m),,,,,,,
,processed_delta_18O,‰,total count,total amount of beaver dams at every range,total_dams,total amount of beaver dams at every range,total_dams,total amount of beaver dams at every range,,,,,,,
,processed_delta_18O_stdev,‰,average length,the average length of every range,cumulative_dams,cumulative amount across the sites,cumulative_dams,cumulative amount across the sites,,,,,,,
,d_excess,‰,,,Δdams,delta dam amount,Δdams,delta dam amount,,,,,,,
,lc_excess,‰,,,avg_dam_length,average of dam lengths,avg_dam_length,average of dam lengths,,,,,,,
,site,individual site,,,cumulative_dam_length,cumulative dam length across the sites,cumulative_dam_length,cumulative dam length across the sites,,,,,,,
,location,general location,,,Δcumulative_dam_length,delta cumulative dam length across the sites,Δcumulative_dam_length,delta cumulative dam length across the sites,,,,,,,
,,,,,lc-excess_6-24,‰,lc-excess_6-23,‰,,,,,,,Δlc-excess/Δcum_dam_length_7-7 (ppb/m)
,,,,,Δlc-excess_6-24,delta lc-excess (‰),Δlc-excess_6-23,delta lc-excess (‰),,,,,,,
,,,,,Δlc-excess/Δx_6-24,delta lc-excess/ delta delta cumulative dam length across the sites (‰/m),Δlc-excess/Δx_6-23,delta lc-excess/ delta delta cumulative dam length across the sites (‰/m),,,,,,,
,,,,,Δlc-excess/Δcum_dam_length_6-24,delta lc-excess/ delta stream distance (‰/km),Δlc-excess/Δavg_dam_length_6-23 (ppb/m),delta lc-excess/ delta stream distance (‰/km),,,,,,,
,,,,,lc-excess_6-30,‰,lc-excess_7-7,‰,,,,,,,
,,,,,Δlc-excess_6-30,delta lc-excess (‰),Δlc-excess_7-7,delta lc-excess (‰),,,,,,,
,,,,,Δlc-excess/Δx_6-30,delta lc-excess/ delta delta cumulative dam length across the sites (‰/m),Δlc-excess/Δx_7-7,delta lc-excess/ delta delta cumulative dam length across the sites (‰/m),,,,,,,
,,,,,Δlc-excess/Δcum_dam_length_6-30,delta lc-excess/ delta stream distance (‰/km),Δlc-excess/Δcum_dam_length_7-7 (ppb/m),delta lc-excess/ delta stream distance (‰/km),,,,,,,
,,,,,lc-excess_7-15,‰,,,,,,,,,
,,,,,Δlc-excess_7-15,delta lc-excess (‰),,,,,,,,,
,,,,,Δlc-excess/Δx_7-15 (ppb/km),delta lc-excess/ delta delta cumulative dam length across the sites (‰/m),,,,,,,,,
,,,,,Δlc-excess/Δcum_dam_length_7-15,delta lc-excess/ delta stream distance (‰/km),,,,,,,,,
