date,site,method,time,Q (cfs),error,highest_error,type_highest_error,stations,width,area,temp_f,notes
6/23/26,CC-1,SonTech,9:30,1.351,3.3,2.5,depth,11,4,2.068,47.5,
6/23/26,CC-6,SonTech,13:30,1.876,6.4,5.4,velocity,12,5.5,4.3,63.4,
7/1/26,IT-1,SonTech,14:45,2.849,4.1,3.1,velocity,20,8,5.334,57.4,
7/1/26,IT-5,SonTech,11:00,4.492,13.4,12.3,velocity,20,6.3,5.768,53.3,Had some difficulty finding a suitable place to guage
7/7/26,CC-1,SonTech,14:45,0.069,8.4,8.4,velocity,11,3.33,0.583,61.3,Offloaded data from SonTech before returning to site for measurement (storage was full)
7/7/26,CC-6,SonTech,9:30,0.232,9,6.9,velocity,17,5.66,3.067,54.5,
7/16/26,IT-1,SonTech,,3.072,4.9,3.4,velocity,22,8,5.558,58.6,
7/16/26,IT-5,SonTech,,3.412,12,11.2,velocity,19,6,4.6,54.3,
7/23/26,IT-1,SonTech,13:30,2.886,12.8,9.2,depth,13,8.33,5.966,59.5,
7/23/26,IT-5,SonTech,,4.721,8.2,7.3,velocity,20,6.34,5.083,59.2,
