sample_name,date,processed_delta_d,processed_delta_d_stdev,processed_delta_18O,processed_delta_18O_stdev,d_excess,lc_excess,site,location
UTC 20260415,4/15/2026,-124.98,0.14,-16.76,0.01,9.12,-1.2756,utc_isco,tc
UTC3 20260420,4/20/2026,-123.73,0.07,-16.65,0.02,9.47,-0.899,utc_isco,tc
UTC4 20260422,4/22/2026,-124.93,0.47,-16.87,0.06,10.06,-0.3522,utc_isco,tc
UTC5 20260424,4/24/2026,-123.21,0.02,-16.61,0.03,9.65,-0.6966,utc_isco,tc
UTC6 20260426,4/26/2026,-124.37,0.05,-16.78,0.01,9.91,-0.5068,utc_isco,tc
UTC7 20260428,4/28/2026,-122.39,0.12,-16.52,0.04,9.78,-0.5912,utc_isco,tc
UTC8 20260430,4/30/2026,-122.46,0.03,-16.6,0.03,10.32,-0.026,utc_isco,tc
UTC9 20260502,5/2/2026,-123.75,0.21,-16.71,0.05,9.93,-0.4426,utc_isco,tc
UTC10 20260504,5/4/2026,-123.17,0.29,-16.62,0.05,9.81,-0.5772,utc_isco,tc
UTC11 20260506,5/6/2026,-123.28,0.1,-16.68,0.03,10.15,-0.2108,utc_isco,tc
UTC12 20260508,5/8/2026,-123.22,0.53,-16.65,0.06,9.97,-0.389,utc_isco,tc
UTCisco1 20260512,5/12/2026,-120.02,0.07,-16.19,0.03,9.5,-0.8414,utc_isco,tc
UTCisco2 20260514,5/14/2026,-118.91,0.13,-15.97,0.04,8.83,-1.4782,utc_isco,tc
UTCisco3 20260516,5/16/2026,-118.48,0.16,-15.97,0.03,9.29,-1.0482,utc_isco,tc
UTCisco4 20260518,5/18/2026,-117.77,0.1,-15.91,0.02,9.51,-0.8146,utc_isco,tc
UTCisco5 20260520,5/20/2026,-118.38,0.04,-15.94,0.02,9.17,-1.1864,utc_isco,tc
UTCisco6 20260522,5/22/2026,-119.53,0.09,-16.08,0.03,9.15,-1.2248,utc_isco,tc
UTCisco7 20260524,5/24/2026,-120.33,0.07,-16.21,0.03,9.39,-0.9926,utc_isco,tc
UTCisco8 20260526,5/26/2026,-119.72,0.15,-15.99,0.03,8.19,-2.1294,utc_isco,tc
UTCisco9 20260528,5/28/2026,-120.01,0.07,-16.18,0.01,9.42,-0.9108,utc_isco,tc
UTCisco10 20260530,5/30/2026,-119.83,0.07,-16.07,0.03,8.69,-1.6042,utc_isco,tc
UTCisco11 20260601,6/1/2026,-120.76,0.17,-16.25,0.04,9.23,-1.105,utc_isco,tc
UTCisco12 20260603,6/3/2026,-121.35,0.05,-16.28,0,8.89,-1.4568,utc_isco,tc
UTCisco13 20260608,6/8/2026,-122.09,0.09,-16.35,0.01,8.69,-1.641,utc_isco,tc
TC1 20260416,4/16/2026,-120.52,0.08,-16.31,0.02,9.96,-0.3886,tc_isco,tc
TC2 20260418,4/18/2026,-121.5,0.04,-16.42,0.03,9.88,-0.4952,tc_isco,tc
