sample_name,date,lc_excess,site,location
CC1 20260623,6/23/2026,1.207,coal_1,cc-us
CC6 20260623,6/23/2026,-0.531,coal_6,cc-ds
CC1 20260707,7/7/2026,-0.1241,coal_1,cc-us
CC6 20260707,7/7/2026,-2.1881,coal_6,cc-ds
IT1 20260701,7/1/2026,3.7399,italian_1,it-us
IT5 20260701,7/1/2026,3.2675,italian_5,it-ds
IT1 20260716,7/16/2026,1.635,italian_1,it-us
IT5 20260716,7/16/2026,0.5569,italian_5,it-ds
IT1 20260723,7/23/2026,1.1858,italian_1,it-us
IT5 20260723,7/23/2026,0.3567,italian_5,it-ds
TCP3US 20260624,6/24/2026,-1.8248,tc_us,utc
TCBDA3 20260624,6/24/2026,-5.3802,tc_3,tc
TCP3US 20260630,6/30/2026,-2.4146,tc_us,utc
TCBDA3 20260630,6/30/2026,-4.756,tc_3,tc
TCP3US 20260715,7/15/2026,-1.1632,tc_us,utc
TCBDA3 20260715,7/15/2026,-4.0352,tc_3,tc
